RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Latitude,Longitude
1,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,	PH15 2EB,286580.0,749680.0
2,Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,	AB38 9PJ,326340.0,842570.0
3,AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2,	AB5 5LI,352960.0,839320.0
4,Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0,	PA42 7EB,141560.0,646220.0
5,Ardmore,2,2,2,0,0,1,1,1,2,3,1,1,	AB54 4NH,355350.0,829140.0
6,ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2,KA27 8HJ,194050.0,649950.0
7,Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3,G81 4SJ,247670.0,672610.0
8,Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1,	AB55 3XS,340754.0,848623.0
9,Aultmore,2,2,1,0,0,1,0,0,2,2,2,2,	AB55 3QY,340754.0,848623.0
10,Balblair,2,3,2,1,0,0,2,0,2,1,2,1,	IV19 1LB,270820.0,885770.0
11,Balmenach,4,3,2,0,0,2,1,3,3,0,1,2,	PH26 3PF,307750.0,827170.0
12,Balvenie,3,2,1,0,0,3,2,1,0,2,2,2,	AB55 4DH,332680.0,840840.0
13,BenNevis,4,2,2,0,0,2,2,0,2,2,2,2,	PH33 6TJ,212600.0,775710.0
14,Benriach,2,2,1,0,0,2,2,0,0,2,3,2,	IV30 8SJ,323450.0,858380.0
15,Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2,	AB38 9NN,325800.0,839920.0
16,Benromach,2,2,2,0,0,2,2,1,2,2,2,2,	IV36 3EB,303330.0,859350.0
17,Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3,	DG8 9AB,242260.0,554260.0
18,BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2,	PH16 5LY,294860.0,757580.0
19,Bowmore,2,2,3,1,0,2,2,1,1,1,1,2,	PA43 7GS,131330.0,659720.0
20,Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2,PA49 7UN,126680.0,661400.0
21,Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3,PA46 7RR,142210.0,673170.0
22,Caol_Ila,3,1,4,2,1,0,2,0,2,1,1,1,	PA46 7RL,142920.0,670040.0
23,Cardhu,1,3,1,0,0,1,1,0,2,2,2,2,	AB38 7RY,318790.0,843090.0
24,Clynelish,3,2,3,3,1,0,2,0,1,1,2,0,	KW9 6LB,290250.0,904230.0
25,Craigellachie,2,2,2,0,1,2,2,1,2,2,1,4,AB38 9ST,328920.0,844920.0
26,Cragganmore,2,3,2,1,0,0,1,0,2,2,2,2,AB37 9AB,316600.0,836370.0
27,Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1,	AB38 7RE,323520.0,841010.0
28,Dalmore,3,2,2,1,0,1,2,2,1,2,3,1,	IV17 0UT,266610.0,868730.0
29,Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2,	PH19 1AB,263670.0,785270.0
30,Deanston,2,2,1,0,0,2,1,1,1,3,2,1,FK16 6AG,271570.0,701570.0
31,Dufftown,2,3,1,1,0,0,0,0,1,2,2,2,AB55 4BR,332360.0,839200.0
32,Edradour,2,3,1,0,0,2,1,1,4,2,2,2,PH16 5JP,295960.0,757940.0
33,GlenDeveronMacduff,2,3,1,1,1,1,1,2,0,2,0,1,AB4 3JT,372120.0,860400.0
34,GlenElgin,2,3,1,0,0,2,1,1,1,1,2,3,IV30 3SL,322640.0,861040.0
35,GlenGarioch,2,1,3,0,0,0,3,1,0,2,2,2,AB51 0ES,381020.0,827590.0
36,GlenGrant,1,2,0,0,0,1,0,1,2,1,2,1,AB38 7BS,327610.0,849570.0
37,GlenKeith,2,3,1,0,0,1,2,1,2,1,2,1,AB55 3BU,340754.0,848623.0
38,GlenMoray,1,2,1,0,0,1,2,1,2,2,2,4,IV30 1YE,319820.0,862320.0
39,GlenOrd,3,2,1,0,0,1,2,1,1,2,2,2,IV6 7UJ,251810.0,850860.0
40,GlenScotia,2,2,2,2,0,1,0,1,2,2,1,1,PA28 6DS,172090.0,621010.0
41,GlenSpey,1,3,1,0,0,0,1,1,1,2,0,2,AB38 7AU,327760.0,849140.0
42,Glenallachie,1,3,1,0,0,1,1,0,1,2,2,2,AB38 9LR,326490.0,841240.0
43,Glendronach,4,2,2,0,0,2,1,4,2,2,2,0,AB54 6DA,361200.0,844930.0
44,Glendullan,3,2,1,0,0,2,1,2,1,2,3,2,AB55 4DJ,333000.0,840300.0
45,Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2,AB37 9BD,320950.0,838160.0
46,Glenfiddich,1,3,1,0,0,0,0,0,0,2,2,2,AB55 4DH,332680.0,840840.0
47,Glengoyne,1,2,0,0,0,1,1,1,2,2,3,2,G63 9LB,252810.0,682750.0
48,Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2,EH34 5ET,344380.0,666690.0
49,Glenlivet,2,3,1,0,0,2,2,2,1,2,2,3,AB37 9DB,319560.0,828780.0
50,Glenlossie,1,2,1,0,0,1,2,0,1,2,2,2,IV30 3SS,322640.0,861040.0
51,Glenmorangie,2,2,1,1,0,1,2,0,2,1,2,2,IV19 1PZ,276750.0,883450.0
